reactionId	sampleId	targetId	cq	excl	quantFluor
1	gDNA	Exon 1	23.2	FALSE	101.6
2	gDNA	Exon 1	23.1	FALSE	101.6
11	NTC	Exon 1	40	FALSE	101.6
12	NTC	Exon 1	40	FALSE	101.6
13	gDNA	Exon 1	22.9	FALSE	101.6
14	gDNA	Exon 1	22.7	FALSE	101.6
25	1	Exon 1	23.4	FALSE	101.6
26	1	Exon 1	23.2	FALSE	101.6
37	1	Exon 1	24.2	TRUE	101.6
38	1	Exon 1	23.6	FALSE	101.6
49	2	Exon 1	25	FALSE	101.6
50	2	Exon 1	25.3	FALSE	101.6
61	2	Exon 1	24.5	TRUE	101.6
62	2	Exon 1	25.5	FALSE	101.6
73	SJ-NB-6	Exon 1	27.8	FALSE	101.6
74	SJ-NB-6	Exon 1	28.2	FALSE	101.6
85	SJ-NB-6	Exon 1	28.3	FALSE	101.6
86	SJ-NB-6	Exon 1	28.1	FALSE	101.6
3	gDNA	Exon 2	22.7	FALSE	101.6
4	gDNA	Exon 2	22.9	FALSE	101.6
15	gDNA	Exon 2	22.5	FALSE	101.6
16	gDNA	Exon 2	22.4	FALSE	101.6
23	NTC	Exon 2	40	FALSE	101.6
24	NTC	Exon 2	40	FALSE	101.6
27	1	Exon 2	23.2	FALSE	101.6
28	1	Exon 2	23.1	FALSE	101.6
39	1	Exon 2	22.8	FALSE	101.6
40	1	Exon 2	23.1	FALSE	101.6
51	2	Exon 2	24	FALSE	101.6
52	2	Exon 2	23.9	FALSE	101.6
63	2	Exon 2	24.2	FALSE	101.6
64	2	Exon 2	24.3	FALSE	101.6
75	SJ-NB-6	Exon 2	27.6	FALSE	101.6
76	SJ-NB-6	Exon 2	28	TRUE	101.6
87	SJ-NB-6	Exon 2	27.5	FALSE	101.6
88	SJ-NB-6	Exon 2	27.4	FALSE	101.6
5	gDNA	Exon 3	22.9	FALSE	101.6
6	gDNA	Exon 3	22.3	FALSE	101.6
17	gDNA	Exon 3	22.9	FALSE	101.6
18	gDNA	Exon 3	21.9	TRUE	101.6
29	1	Exon 3	24.2	FALSE	101.6
30	1	Exon 3	24.3	FALSE	101.6
35	NTC	Exon 3	40	FALSE	101.6
36	NTC	Exon 3	40	FALSE	101.6
41	1	Exon 3	23.7	FALSE	101.6
42	1	Exon 3	24	FALSE	101.6
53	2	Exon 3	23.8	FALSE	101.6
54	2	Exon 3	24.2	FALSE	101.6
65	2	Exon 3	24.4	FALSE	101.6
66	2	Exon 3	24.1	FALSE	101.6
77	SJ-NB-6	Exon 3	27.8	FALSE	101.6
78	SJ-NB-6	Exon 3	27.9	FALSE	101.6
89	SJ-NB-6	Exon 3	28	FALSE	101.6
90	SJ-NB-6	Exon 3	27.9	FALSE	101.6
7	gDNA	ZNF80	21.8	FALSE	101.6
8	gDNA	ZNF80	21.9	FALSE	101.6
19	gDNA	ZNF80	21.3	FALSE	101.6
20	gDNA	ZNF80	21.6	FALSE	101.6
31	1	ZNF80	22.5	FALSE	101.6
32	1	ZNF80	22.1	FALSE	101.6
43	1	ZNF80	22.1	FALSE	101.6
44	1	ZNF80	21.4	TRUE	101.6
47	NTC	ZNF80	36.4	TRUE	101.6
48	NTC	ZNF80	34.3	TRUE	101.6
55	2	ZNF80	22.1	FALSE	101.6
56	2	ZNF80	21.9	FALSE	101.6
67	2	ZNF80	22.3	FALSE	101.6
68	2	ZNF80	22.1	FALSE	101.6
79	SJ-NB-6	ZNF80	25.6	FALSE	101.6
80	SJ-NB-6	ZNF80	25.9	FALSE	101.6
91	SJ-NB-6	ZNF80	25.1	TRUE	101.6
92	SJ-NB-6	ZNF80	25.8	FALSE	101.6
9	gDNA	GPR15	21.9	FALSE	101.6
10	gDNA	GPR15	21.6	FALSE	101.6
21	gDNA	GPR15	21.9	FALSE	101.6
22	gDNA	GPR15	21.8	FALSE	101.6
33	1	GPR15	22.3	FALSE	101.6
34	1	GPR15	22.1	FALSE	101.6
45	1	GPR15	22.1	FALSE	101.6
46	1	GPR15	22.2	FALSE	101.6
57	2	GPR15	21.4	TRUE	101.6
58	2	GPR15	22.3	FALSE	101.6
59	NTC	GPR15	40	FALSE	101.6
60	NTC	GPR15	40	FALSE	101.6
69	2	GPR15	22.3	FALSE	101.6
70	2	GPR15	22.7	FALSE	101.6
81	SJ-NB-6	GPR15	25.8	FALSE	101.6
82	SJ-NB-6	GPR15	25.5	FALSE	101.6
93	SJ-NB-6	GPR15	25.2	FALSE	101.6
94	SJ-NB-6	GPR15	25	FALSE	101.6
